"trait","model","index","beta","se","lower95","upper95","n","p_val","outcome","strata","p_label","batch"
"osa_lasso_mrs","mdl1_both_covar","13",0.16870931089801,0.055,0.0609093108980102,0.27650931089801,562,0.00227815670076575,"sdb_pc1","male","**","batch_2"
"osa_lasso_mrs","mdl2_both_covar","14",0.178424624641495,0.052,0.0765046246414946,0.280344624641495,550,0.000590382670158263,"sdb_pc1","male","***","batch_2"
"REI3","mdl1_both_covar","1",0.138294479544101,0.034,0.0716544795441011,0.204934479544101,562,0.0000569610596752326,"sdb_pc2","male","***","batch_2"
"REI3","mdl2_both_covar","2",0.136759404151209,0.032,0.0740394041512095,0.199479404151209,550,0.0000178694621451803,"sdb_pc2","male","***","batch_2"
"log_HB","mdl1_both_covar","3",-0.0270138556075639,0.083,-0.189693855607564,0.135666144392436,562,0.745417947379235,"sdb_pc2","male","","batch_2"
"log_HB","mdl2_both_covar","4",-0.0154962165865469,0.08,-0.172296216586547,0.141303783413453,550,0.846413275033493,"sdb_pc2","male","","batch_2"
"sdbpc1_mrs","mdl1_both_covar","5",0.165326292342971,0.051,0.0653662923429714,0.265286292342971,562,0.00109870549480295,"sdb_pc2","male","**","batch_2"
"sdbpc1_mrs","mdl2_both_covar","6",0.1590906444875,0.051,0.0591306444874998,0.2590506444875,550,0.00164330320751043,"sdb_pc2","male","**","batch_2"
"sex_sdbpc1_mrs","mdl1_both_covar","7",0.119930589795525,0.052,0.0180105897955249,0.221850589795525,562,0.0216566431319408,"sdb_pc2","male","*","batch_2"
"sex_sdbpc1_mrs","mdl2_both_covar","8",0.120238205898196,0.051,0.020278205898196,0.220198205898196,550,0.0183487112377352,"sdb_pc2","male","*","batch_2"
"sex_sdbpc2_mrs","mdl1_both_covar","9",0.118085492001063,0.05,0.0200854920010628,0.216085492001063,562,0.0185708611775383,"sdb_pc2","male","*","batch_2"
"sex_sdbpc2_mrs","mdl2_both_covar","10",0.131893160321891,0.047,0.0397731603218909,0.224013160321891,550,0.00516801321548349,"sdb_pc2","male","**","batch_2"
"sdbpc2_mrs","mdl1_both_covar","11",0.142336564102093,0.047,0.0502165641020935,0.234456564102093,562,0.00222369411278586,"sdb_pc2","male","**","batch_2"
"sdbpc2_mrs","mdl2_both_covar","12",0.151050959375512,0.05,0.0530509593755117,0.249050959375512,550,0.00231956043676884,"sdb_pc2","male","**","batch_2"
"osa_lasso_mrs","mdl1_both_covar","13",0.145396118330722,0.054,0.0395561183307224,0.251236118330722,562,0.00667828521552748,"sdb_pc2","male","**","batch_2"
"osa_lasso_mrs","mdl2_both_covar","14",0.156081926921922,0.052,0.0541619269219221,0.258001926921922,550,0.00290484821252951,"sdb_pc2","male","**","batch_2"
