"trait","model","index","beta","se","lower95","upper95","n","p_val","outcome","strata","p_label","batch"
"REI3","mdl2_both_covar","2",0.767034966391737,0.058,0.653354966391737,0.880714966391737,1854,0.0000000000000000000000000000000000000015402388446578,"sdb_pc1","female","***","batch_1"
"log_HB","mdl1_both_covar","3",0.70268513172882,0.022,0.65956513172882,0.74580513172882,1874,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000850221122179754,"sdb_pc1","female","***","batch_1"
"log_HB","mdl2_both_covar","4",0.705899859810025,0.022,0.662779859810025,0.749019859810026,1854,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000492733752933548,"sdb_pc1","female","***","batch_1"
"sdbpc1_mrs","mdl1_both_covar","5",0.303928529607972,0.028,0.249048529607972,0.358808529607972,1874,0.00000000000000000000000000154552390044654,"sdb_pc1","female","***","batch_1"
"sdbpc1_mrs","mdl2_both_covar","6",0.307147968338493,0.028,0.252267968338493,0.362027968338493,1854,0.000000000000000000000000000271583100960146,"sdb_pc1","female","***","batch_1"
"sex_sdbpc1_mrs","mdl1_both_covar","7",0.317539757647537,0.027,0.264619757647537,0.370459757647537,1874,0.0000000000000000000000000000000193543480760996,"sdb_pc1","female","***","batch_1"
"sex_sdbpc1_mrs","mdl2_both_covar","8",0.317717753266176,0.026,0.266757753266176,0.368677753266176,1854,0.0000000000000000000000000000000000574355308005336,"sdb_pc1","female","***","batch_1"
"sex_sdbpc2_mrs","mdl1_both_covar","9",-0.0382528539613886,0.038,-0.112732853961389,0.0362271460386114,1874,0.315649242116095,"sdb_pc1","female","","batch_1"
"sex_sdbpc2_mrs","mdl2_both_covar","10",-0.0339161854827889,0.035,-0.102516185482789,0.0346838145172111,1854,0.338532958990979,"sdb_pc1","female","","batch_1"
"sdbpc2_mrs","mdl1_both_covar","11",-0.00881077709230931,0.03,-0.0676107770923093,0.0499892229076907,1874,0.766883650441534,"sdb_pc1","female","","batch_1"
"sdbpc2_mrs","mdl2_both_covar","12",-0.00798076199978627,0.029,-0.0648207619997863,0.0488592380002137,1854,0.786649302696956,"sdb_pc1","female","","batch_1"
"osa_lasso_mrs","mdl1_both_covar","13",0.121959908129333,0.03,0.0631599081293334,0.180759908129333,1874,0.0000597796221889048,"sdb_pc1","female","***","batch_1"
"osa_lasso_mrs","mdl2_both_covar","14",0.121123192105513,0.029,0.0642831921055129,0.177963192105513,1854,0.0000357869942619889,"sdb_pc1","female","***","batch_1"
"REI3","mdl1_both_covar","1",0.138992831144079,0.045,0.0507928311440793,0.227192831144079,1874,0.00194725391773539,"sdb_pc2","female","**","batch_1"
"REI3","mdl2_both_covar","2",0.144823253812413,0.047,0.0527032538124128,0.236943253812413,1854,0.0019189064363701,"sdb_pc2","female","**","batch_1"
"log_HB","mdl1_both_covar","3",-0.457229731542967,0.036,-0.527789731542967,-0.386669731542967,1874,0.000000000000000000000000000000000000428478037030111,"sdb_pc2","female","***","batch_1"
"log_HB","mdl2_both_covar","4",-0.445404118693703,0.036,-0.515964118693703,-0.374844118693703,1854,0.0000000000000000000000000000000000993031232333289,"sdb_pc2","female","***","batch_1"
