"","Age","BMI","REI3","REI0","HB","avgEventLength","avgSpO2","minSpO2","Per90","SDBPC1","SDBPC2"
"Age",0,0,0,0,0,0,0,0,0,0,0
"BMI",0,0,0,0,0,0,0,0,0,0,0
"REI3",0,0,0,0,0,0,0,0,0,0,0
"REI0",0,0,0,0,0,0,0,0,0,0,0.012
"HB",0,0,0,0,0,0,0,0,0,0,0
"avgEventLength",0,0,0,0,0,0,0,0,0,0,0
"avgSpO2",0,0,0,0,0,0,0,0,0,0,0
"minSpO2",0,0,0,0,0,0,0,0,0,0,0
"Per90",0,0,0,0,0,0,0,0,0,0,0
"SDBPC1",0,0,0,0,0,0,0,0,0,0,0.158
"SDBPC2",0,0,0,0.012,0,0,0,0,0,0.158,0
